pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Canada,11153.458681,11674.605326,12271.524431,12446.685618,11868.312781,12412.204058,13104.417595,12835.964716,12754.582446,12914.456453,12901.177177,13010.066611,13631.535591,14087.693862,14806.358301,15451.496435,16150.129154,16278.055202,16867.243506,17550.592524,17735.270544,18545.198925,19343.756906,20425.230626,20758.663547,20890.466129,21736.96648,22291.749535,22901.692865,23518.359231,23590.373303,23836.651492,22737.891025,23265.119372,24466.566704,25407.931728,25914.738551,26797.447824,27671.584292,28003.729125,27585.080635,26537.403577,26471.74281,26860.324359,28044.175611,28516.008952,28669.402484,29743.431926,30702.989228,32152.660703,33565.191519,33762.808919,34449.734675,34885.265413,35765.434683,36653.896913,37379.82782,37885.723269,37750.491175,36252.853168,37110.403145
Cape Verde,,,,,,,,,,,853.74134962,939.70524192,777.22910593,634.1917536,663.11590434,676.97529545,812.25383376,871.3015612,943.29657542,1017.1477078,1114.939461,1154.7049118,1173.0754034,1184.6139755,1206.9455805,994.66643998,1005.6496933,949.07111524,1031.05568,1051.4056566,1075.3271058,1154.3466933,1211.9986006,1294.6397768,1313.5412726,1398.3972874,1456.7332041,1479.0309702,1495.8226037,1575.1401914,1581.6581257,1533.2496567,1577.6067913,1641.4286834,1775.0673261,1805.5984343,1898.5230411,1978.6242716,2056.4927701,2313.378957,2351.5535836,2450.8212632,2584.144943,2631.7319136,2778.606555,2845.9190065,3098.4801135,3466.7888048,3696.3686001,3676.5380896,3910.0559865
Central African Rep.,,,,,,,,,,,961.99088649,1018.3057982,970.11363165,945.43660532,967.08400474,960.78933377,946.57672965,1050.2053475,991.11578508,988.81957092,1005.6615436,933.06961993,881.6642061,917.6703885,888.39676274,853.09486772,821.85841802,873.18023666,868.39568598,835.07685337,787.76838305,860.45639869,859.02068692,764.68632736,813.97910702,823.27117323,841.08697622,740.31099901,743.79121046,733.2075374,678.35406557,650.45754449,612.21648847,589.21761067,587.75441953,600.36402875,556.25568057,579.19946174,579.2744014,606.79218298,605.80250969,595.45494827,581.67516132,527.67314594,532.70568437,532.31562161,516.44252906,528.31588676,537.19812556,520.85940476,586.9823983
Chad,,,,,,,,,,,812.04994379,811.50035974,880.60878728,827.64122918,811.56308453,821.6721582,807.19128157,814.30763898,809.0802921,849.61769722,889.03596115,885.74165312,807.01266278,756.23673628,821.04150641,918.57588937,886.11126736,814.68594516,793.21663551,609.32178539,572.72026473,579.65583505,582.53588855,641.52897776,647.69480147,782.48767523,729.01541158,688.57343586,771.40784114,785.72678136,738.83154282,775.02820972,802.4671408,786.25091924,799.88062234,793.56075614,718.83017094,741.6582796,775.372962,750.69448155,729.86254192,771.31075112,824.4251762,910.82346553,1244.107789,1295.7103574,1262.5579652,1212.4529359,1180.996112,1293.0417679,1331.7460601
Chile,,3221.7927963,3281.0166578,3544.7387452,3228.7831356,3363.4812816,3329.596324,3485.0652048,3549.5650045,3391.382412,3700.1609741,3745.8692046,3851.0589288,3991.0604568,3974.7820252,3878.1646799,4185.5258428,4218.6353353,4329.0834505,4437.1855232,4465.2873242,4763.3247133,4603.7850019,4283.2856871,4352.2921343,3628.8342663,3693.8726152,4021.2374169,4313.8610433,4656.125806,4970.359559,5199.2910022,4307.6143058,4076.2379906,4279.9680007,4265.4583892,4436.5982881,4666.0471429,4940.3731,5415.0848382,5528.7002937,5871.7286447,6527.2771567,6897.6574217,7235.4580383,7968.4372718,8496.3051091,8978.1404096,9175.5746597,9024.4529263,9338.3633954,9577.3354114,9664.1939954,9937.5143027,10514.228161,11068.385077,11490.129614,11976.838321,12426.653677,11832.700168,12526.564198
China,,,530.57500102,558.77813354,558.7668681,575.90225074,610.6069229,639.27926954,746.98121066,789.18268851,771.65971737,622.95052149,584.80259438,615.7439068,682.87914961,731.34977306,770.59965697,716.37406929,670.32472334,734.38755998,818.80491451,840.81579299,842.02254879,884.03012491,881.05704266,925.89591886,882.4072488,919.28230728,1010.5930627,1059.1258093,1085.2425071,1134.9929228,1215.6832432,1282.4265645,1405.7807121,1494.0350693,1568.8406117,1683.927453,1732.3751304,1714.1441426,1718.0621277,1802.0044196,1929.191159,2036.0462756,2239.7780631,2559.3185021,2630.608558,2869.362295,2867.1143084,3003.9857223,3173.6955507,3364.7759484,3746.5195289,4054.4955695,4458.1398245,4802.163789,5325.5644026,5955.2297877,6500.1785006,7075.3715782,7746.0661986
Colombia,2622.3065187,2580.585072,2669.7771435,2767.5327882,2910.7836509,2942.2417795,2921.4987165,2855.6129412,2785.5811141,2870.1138208,2940.6926718,3028.419913,3077.6819567,3081.0783395,3239.9480115,3153.2574241,3255.1694364,3262.2329896,3384.2730383,3517.8918175,3665.8227387,3803.5462011,3939.5700278,4088.7758962,4272.0821308,4214.9974615,4369.5903758,4498.5409421,4784.5327256,4907.914163,5030.8946191,5089.3032392,5053.0576099,4983.2462361,4990.1409529,4961.8628034,5083.351542,5224.1450666,5328.8125874,5348.8884971,5417.6518696,5368.4851771,5572.451447,5785.4384671,5949.895957,6148.5465206,6090.9651518,6162.2096588,6082.3439776,5674.597428,5795.1268784,5833.3308278,5900.7752368,6052.9978441,6286.1690634,6490.9916268,6830.3119295,7204.6190048,7354.039444,7385.7889662,7534.4775485
Comoros,,,,,,,,,,,744.70012982,803.10064934,907.56709656,977.0141216,1047.6242822,1021.074267,1108.9203698,1232.3706532,1180.3895115,1118.0417767,1202.8677957,1219.5676119,1211.5039644,1263.2189817,1265.112113,1309.0178541,1274.0749463,1223.6989635,1220.0147396,1295.6964156,1365.4420669,1360.2771225,1421.4586397,1444.1289368,1506.8263423,1455.7235948,1422.7775409,1405.9178085,1389.6472136,1316.5121464,1277.2380589,1231.5861641,1218.667445,1190.4393566,1089.8199266,1173.5276144,1100.9447657,1079.0940149,1043.7653194,1014.8958342,945.57048044,980.25123397,1003.941007,976.3845091,936.76797137,939.82498776,926.88568674,909.13459063,872.10493721,852.40942564,856.2020878
Congo Dem. Rep.,520.81247167,619.22773728,679.77686684,746.25263723,756.721096,791.44544295,810.49480443,793.31947568,733.56214839,695.33375583,691.29514982,607.773788,681.4720719,765.86258761,743.19695642,731.80685598,752.562487,709.05599748,696.22207174,769.52638414,738.24063618,825.86551046,795.53821548,817.97692422,820.44830056,735.2133059,667.59813562,739.40467293,597.39683416,633.76525782,669.98392985,638.78365681,585.60642495,605.96972426,642.29513227,641.44130523,637.04793184,636.09291659,619.03006102,609.80174176,467.90423498,422.07112869,363.55689442,302.84516265,279.81914314,273.69978339,258.60096337,242.09771105,228.51456426,206.13070796,179.99185517,187.04993853,201.7433404,181.7523187,195.67032411,207.46952517,213.82564969,222.44542739,230.62787314,231.39926416,240.46084045
Congo Rep.,,,,,,,,,,,999.96224608,1128.1485202,1066.2465263,984.74762687,989.07232807,1003.8898141,1029.9473283,1111.573789,1178.8072456,1261.7342235,1351.1869097,1439.3435691,1507.2441868,1868.7976938,1858.6502408,1607.7360582,1653.2457011,1481.1718134,1547.4338249,1730.5767665,1876.6800469,2113.0035083,2506.1930005,2671.1788778,2800.3016188,2616.0369063,2392.4331625,2367.8371153,2417.8547192,2433.799703,2437.0074069,2131.9012913,2214.5791928,2106.8009886,2009.0799684,2126.2692133,2230.0197387,2241.6702032,2337.5243917,2230.6859273,2256.3638513,2157.0051287,2151.5746998,2061.1789055,2046.5088248,2183.4027296,2226.2795762,1992.3646326,2077.0908882,2132.9813866,2253.734769
