pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Niger,,,,,,,,,,,866.04384905,910.33793315,983.78479853,1048.6417418,1008.2842894,1020.8402175,994.05819341,992.57427225,991.77105881,902.93879136,942.89292647,945.09121994,898.17524202,770.96208476,816.41938802,776.67773601,775.74559663,831.83017713,889.77613083,931.28919403,858.73221847,787.1838156,772.99177346,745.22272948,576.08168358,630.64271095,602.35542933,567.57156606,605.05355297,580.87569717,553.69915514,545.86660385,528.28752564,516.48897721,509.86544832,503.60590372,511.16356522,496.71344068,540.46895955,527.4789457,491.73397627,507.41706009,513.29308092,513.3715867,491.95340387,502.50725811,511.44204629,509.06770933,534.2369708,511.3950161,522.06030211
Nigeria,1127.1583602,1180.7485553,1237.4208804,1241.704668,1306.7952173,1299.1369264,1239.408426,1248.4408052,1279.8439014,1315.7375728,1558.3482153,1477.2608381,1486.9984476,1572.7914997,1588.5129814,1533.9604725,1416.8990333,1155.1955766,1113.7002747,1286.503466,1568.2595624,1741.0059615,1734.009183,1799.4996603,1902.5459444,1797.4249449,1883.970527,1843.0669326,1692.2299424,1636.265541,1592.531633,1507.5050783,1403.7268116,1269.4923288,1215.109957,1281.8567364,1118.6531709,975.38077889,1018.0190364,1076.509096,1165.5379345,1152.1202353,1097.2787033,1108.6290152,1081.4326033,1047.8374085,1080.3153041,1126.1074868,1123.5904215,1070.0138251,1107.2646414,1220.5248086,1253.3610505,1423.9370661,1578.7496616,1510.7465295,1649.3397588,1912.8870155,1929.3818644,1683.6721746,1692.7809561
Norway,9645.7379793,9732.4855107,10134.191677,10756.416773,11067.273947,11261.232414,11464.989335,11824.952,11911.575219,12103.06315,12507.81312,13198.63177,13481.029842,13950.288591,14530.863177,15278.379874,15783.013189,16746.450821,16910.96166,17405.894587,17909.776352,18904.47349,19453.752927,20385.460938,21143.555967,22072.045737,23355.84624,24150.180706,24346.917639,25242.397979,26256.897786,26550.848208,26671.134907,27253.187766,28823.021975,30283.251838,31807.485482,31931.313012,31700.911123,32055.662376,32594.892384,33363.104915,34290.299232,35133.697656,36909.190454,38424.445553,40419.21181,42815.438964,43879.656874,44223.431896,45304.83066,45812.252894,46179.073627,46298.52542,48101.052458,49293.479708,50508.970762,51791.632343,51570.084669,50354.557476,50490.912172
Oman,,,,,,,,,,,,,,,,,,,,,6111.3722914,6178.8328346,6249.107835,5019.9726577,6718.1887282,8542.5747398,9414.0728106,9997.9942689,11079.812047,10596.730519,10424.112725,11653.263445,12219.535053,12828.633227,13712.093501,15676.940793,15328.329274,13235.766457,13399.117678,13339.62045,13707.772842,14144.975906,15043.793911,15635.433934,15396.149506,15428.55064,15627.626573,16856.960169,17329.84242,16605.601566,17017.909539,17709.484017,17585.236177,17523.0826,18213.291356,17927.261692,18771.44933,20084.514074,22514.635899,21429.060694,22381.878204
Pakistan,631.43720474,623.75186881,620.37415943,652.18432517,631.80431935,617.34291818,637.89086921,625.06704225,621.92108396,632.96095916,617.34489909,646.40602133,655.58463904,704.05924019,740.29992879,801.43284314,794.84753087,827.34898423,864.71475932,851.11196412,963.07492807,946.00878657,946.67670807,990.55726679,1005.5507376,1003.7899308,1026.8415938,1042.6186429,1085.3078921,1072.1458219,1169.6069013,1188.608576,1229.6870105,1268.0382842,1303.4652569,1367.9729464,1389.3921818,1431.5385702,1504.1378815,1527.1357732,1552.2130962,1569.2526286,1643.8180527,1637.4583728,1660.4335984,1705.8659082,1741.2895107,1722.6810202,1732.4933061,1761.6408056,1780.8225784,1756.8816752,1776.0007944,1815.0139766,1924.4507902,2025.7530274,2118.1234865,2190.4552473,2208.9403552,2245.8303458,2297.1848378
Palau,,,,,,,,,,,,,,,,,,,,,12239.744145,12155.097907,12044.550935,11875.20218,11621.966499,11538.953877,11840.149048,11977.770137,11854.707652,11756.506244,11786.114589,11687.665596,11560.414575,11698.205573,12235.571215,12996.799301,13643.499335,14193.748531,14374.847917,14582.377834,16365.738722,16144.015298,16169.700431,11906.085623,12199.744967,13872.451607,15757.048415,15743.623429,14551.020861,13195.691395,13310.898998,14026.263895,13954.076081,13298.269769,14007.453165,14108.710389,14888.681154,15048.053232,14770.245822,15128.326188,15402.271029
Panama,1828.5275727,1674.6438719,1825.2552029,1934.7149738,1891.8619497,1995.6279227,1975.9111121,2012.2867323,1898.9309711,1821.000518,2141.620681,2321.0635783,2490.2940665,2536.6188641,2593.3061554,2736.2642694,2897.9345753,3079.4331489,3302.3887071,3285.0064533,3418.6184557,3555.3853,3537.8586838,3766.152356,3624.4714514,3824.4805262,3885.3904408,4089.3275897,4259.8825201,4320.0146083,5200.4124388,5515.8770602,5685.1814967,5291.8312152,5306.7411522,5629.0558959,5752.5318967,5716.1648559,5214.5244852,5244.3759474,5531.001063,6187.6324159,6276.7258871,6293.2428933,6264.2434285,6319.0211218,6244.6562251,6490.9210465,6758.1050445,6845.0188315,6949.92363,6844.7039124,6854.3605947,6954.0616976,7389.841538,7785.974577,8333.1535591,9302.4770872,10188.043351,10310.988212,10849.33174
Papua New Guinea,,,,,,,,,,,1452.8474896,1676.7807991,1742.7986387,1757.3500691,1842.423038,1958.5097158,2008.1609112,2038.0763059,2074.352575,2128.0360834,2181.742879,2224.2695804,2474.7839071,2503.1799922,2509.2181185,2429.9516053,2249.3658423,2038.8782627,2119.1956383,2115.9879422,1969.997612,1885.7085529,1816.4445791,1834.0997141,1795.0691049,1861.6686033,1939.9425515,1926.1224482,1874.7903001,1858.2196103,1794.4536095,1871.9248751,2134.0108288,2594.8510762,2587.582042,2406.4436076,2518.0933919,2341.710874,2374.185191,2360.1201797,2218.4800232,2172.1874593,2191.2403624,2185.1645798,2196.1880419,2234.3760831,2257.2835867,2424.1786517,2526.5679321,2581.3347933,2783.8762484
Paraguay,,1732.5827782,1693.8978821,1610.7580586,1672.9445879,1748.6261122,1727.6296155,1759.5492801,1808.8835634,1775.9577369,1782.8597974,1859.4573801,1798.2753605,1813.3273349,1827.1371102,1882.043862,1822.6736292,1924.5996738,1912.1123223,1939.6211859,2012.2152888,2048.3183684,2142.7419596,2209.5213271,2310.3525025,2425.9086309,2507.7986157,2686.6611649,2940.3605156,3381.8937298,3557.8249341,3668.0762939,3548.9874772,3390.6555922,3408.9822236,3491.8664439,3386.1617301,3394.654643,3597.6054409,3791.9796481,3651.1756575,3591.1573071,3505.0552698,3569.070509,3411.6592418,3488.8012141,3449.8012949,3490.3318878,3481.9899546,3474.5551655,3287.3115866,3306.2836945,3266.7805937,3341.84159,3422.9733208,3435.3512207,3498.9622169,3658.3829794,3768.3584714,3614.5636493,4068.7545767
Peru,2679.8186967,3037.7953196,3139.0697601,3096.6956422,3076.6698172,3247.4612787,3431.9793999,3432.6169181,3301.928279,3123.1383632,3462.6385899,3635.1595669,3887.0354362,4046.9941957,4153.3782518,4301.7463647,4601.9295354,4637.9247084,4626.2015985,4712.9481418,4949.1275111,5027.6206873,5010.5134509,5199.8702561,5530.7121651,5566.8225746,5495.0968533,5340.3320055,5053.313009,5141.7836601,5314.1553755,5457.2091152,5337.6716733,4569.4026775,4619.9730525,4608.081318,5050.6644767,5424.294495,4874.3370258,4077.8036448,3839.5732854,3851.9333369,3754.5846707,3855.051487,4273.6800964,4550.7522263,4585.8977122,4826.4468897,4721.9679576,4703.4505879,4779.2892502,4731.6694688,4914.8394668,5053.52661,5256.1056706,5561.4459084,5917.1078327,6374.043041,6932.466031,6888.9952514,7410.9746828
Philippines,1007.9231411,1018.5871526,1109.0161732,1167.0128136,1240.8860705,1256.3063199,1370.9947508,1344.0012294,1390.3164277,1471.1504662,1466.4883556,1507.9239521,1534.3965374,1602.7327832,1611.0556164,1649.5843772,1665.99054,1695.5948985,1717.6626556,1744.0024743,1760.2825099,1804.554147,1861.3092196,1985.4550069,2005.558556,2126.0748774,2275.6905598,2327.2868415,2361.5907027,2386.7206876,2449.9052452,2503.9236541,2481.7719589,2502.4220571,2277.9704198,2031.9959026,2099.4606149,2093.1871728,2185.3743411,2271.2523596,2334.2709435,2268.0220915,2272.0884908,2279.1548896,2372.4450202,2365.1850876,2430.6220374,2560.5919155,2393.2442992,2413.2069547,2464.2949148,2489.7876819,2532.1382612,2602.742913,2715.0395891,2787.8475831,2864.198219,2987.5984598,3057.8305763,3032.382066,3193.6319673
Poland,,,,,,,,,,,,,,,,,,,,,6004.3088128,6403.8062573,6650.4259055,6865.5565979,7280.5647255,7634.048191,8197.7550211,8672.3177973,9040.4621797,9278.373079,8638.9879868,7948.5503277,7206.5973517,7545.7296707,7869.458102,8035.0598274,8309.7837056,8430.3527389,8729.159702,8704.5748744,7627.4345844,7459.1131894,7604.1613773,7907.3017196,8278.0464377,8785.9415064,9298.3713067,9894.84888,10344.761441,10818.398893,11271.104379,11467.596262,11664.816215,12134.24546,12789.020594,13249.966776,14064.449949,14997.436656,15775.976395,16085.509252,16700.898609
Portugal,2712.500519,2941.0976631,3061.2425221,3216.0995272,3330.381019,3427.3067341,3569.4396632,3740.9168411,3729.3462621,3905.9494918,4181.7318058,4477.3941398,4695.6578533,4956.3117715,5179.9815214,5557.8204177,5733.118553,6112.7376892,6915.6492951,7125.4535861,7768.6145505,8358.3925627,9033.957827,10185.754804,10282.74373,9033.1953097,9505.3991466,10128.406466,10240.138687,10657.10721,11181.08244,11369.309559,11613.163662,11279.933129,10805.532455,10993.944255,11699.584486,12596.250798,13685.492191,14308.487032,15213.114671,15661.388205,15917.319616,15597.231081,16094.651667,16340.401211,16881.481189,17630.22283,18527.377871,19227.730141,19822.191116,20095.258582,20060.019903,19695.807015,19925.360581,19949.488902,20150.301726,20550.728451,20468.521656,19574.192447,19785.703466
Puerto Rico,3263.1746936,3389.1258181,3630.2819347,3893.7024076,4038.6815395,4277.2673645,4529.7011118,4621.9327523,4957.322431,5455.3490555,5703.7359533,6101.1140428,6567.7910177,6908.5169305,7382.4840346,7821.8273199,8323.4679163,8583.3004024,8684.7718064,9837.1956318,10418.445671,10928.152133,11449.892417,11321.308695,10548.538785,10638.4567,11523.136172,12086.677695,12825.269132,12710.049892,12555.797343,12039.822965,11764.046256,12717.322452,12841.604164,13776.897164,14509.875428,15505.265995,16565.757631,17426.150695,17870.493373,18204.19105,18444.903853,19043.84986,19732.031789,19392.960151,19889.046187,21095.253537,22228.025113,23080.007331,25283.762043,24972.771226,25539.237386,26252.095683,26139.942943,26053.657666,25383.338655,24590.779578,23975.166328,23270.501653,22824.04593
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44566.524439,41813.78752,43484.861749,44991.63426,46059.602398,43522.44328,47650.56166,44804.290655,44483.309194,43021.552525,42564.947217,52656.74747,59691.999702,60412.863331,62547.484929,60151.340896,60612.436221,58578.735804,69179.400961,71158.080342,81515.413392,100110.97284,109972.62505,118835.47855,136311.00839
Romania,,,,,,,,,,,1362.3541853,1551.1579141,1680.1559283,1852.6449508,1921.8196213,2096.4759263,2210.1184056,2479.4661442,2591.4368493,2731.4037737,2910.4991175,3207.5322509,3526.2848812,3778.6796042,4278.665327,4780.7648319,4969.2367091,5621.7507976,6394.3123797,6710.2922455,7027.5215754,6848.2398479,6896.7176803,7045.4174532,7326.3907933,7275.0964056,7452.5840577,7383.2797602,7242.9900636,6645.8263974,6391.23325,5442.0115449,5005.1982628,5058.6447519,5226.374721,5620.9433161,5843.6534603,5638.9500923,5622.3021182,5615.0885789,5831.5436642,6228.5338552,6575.159517,6984.1793399,7727.1619865,8137.1301294,8863.7134063,9425.4646686,10168.915329,9620.320806,9376.1880168
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12393.589134,11491.778658,9881.5152773,8431.8482945,8320.3144102,8061.450095,7755.8009771,7854.5896638,7403.475046,7713.8829401,8525.8292692,9070.7901915,9621.0226793,10418.269585,11353.544855,12214.861247,13228.917102,14374.004904,15140.590281,14544.108484,15062.24322
Rwanda,,,,,,,,,,,758.4011474,727.50439372,776.41401681,691.75580436,588.70273751,599.45419067,592.41640798,644.43897792,645.59924713,709.28379632,714.56134962,691.37487412,678.51419092,731.21252783,595.97750449,691.61642091,763.61211011,792.33775898,725.67483272,747.58965954,724.37365488,913.42654216,758.97783414,808.96916345,670.28656218,681.66560725,690.00636262,697.75443896,644.57702166,644.8155587,714.93265617,768.05670573,817.4912521,681.441115,335.4099224,616.20140704,619.59327054,568.49399457,591.6527399,618.06073107,632.51370299,663.1888354,732.1440839,734.82198489,765.95010338,813.89279283,862.26392118,887.69681332,944.85412564,981.24753921,1025.1384326
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,1929.6419612,2067.6505684,2180.3931888,2281.3461494,2417.4811082,2504.4444765,2663.926834,2820.0661282,3105.6919696,3355.4183208,3569.7451163,3726.6482271,3689.3407995,3606.4787625,4063.1688601,4349.3323529,4843.6774269,5217.9773029,5661.0868261,6135.1170561,6346.3338599,6438.1970917,6722.0693925,7060.6753858,7447.6825463,7543.3938631,7916.1748632,8425.0844059,8425.9482079,8672.9365037,8124.0488122,8594.6104673,8524.9559559,9140.6689071,10108.648335,10494.756983,10642.406337,10822.331298,10989.889589,9938.0488713,9637.3781267
Saint Lucia,,,,,,,,,,,,,,,,,,,,,3760.1025991,3862.7615158,3891.7225199,3878.4153968,4001.8523213,4157.2850835,4837.1117065,5044.914886,5756.396652,5755.5817299,5431.7628785,5524.745498,5517.9104938,5465.8634565,5780.9098131,6176.3021514,7077.9747611,7165.242503,8249.3532458,8949.9902101,9016.8646339,9052.480024,9520.5899835,9306.0916468,9793.6022274,9582.9972342,10303.741709,10271.893559,10775.729291,10936.076808,10817.044162,10097.99547,10126.517325,10376.346129,10905.709,11735.875008,12526.530525,12633.386009,12354.422035,12214.658158,12364.775929
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,2041.3611404,2105.3618216,2607.3210055,2288.5944646,2066.4309193,1873.3922697,2049.0309274,2099.6805944,2243.2135834,2393.1531419,2444.0847047,2540.0864805,2639.0922387,2731.3307284,2794.4458349,2835.8274539,3019.5966458,3241.6769523,3393.4177048,3854.9310171,4289.4663424,4447.2289781,4316.005503,4395.5919599,4336.9874686,4562.8059735,4648.6333056,4926.1324778,5164.2217176,5313.0590511,5339.956412,5381.1734542,5604.1988242,5803.3506954,6168.9553343,6318.1511169,6945.6278175,7171.4870357,7333.9558867,7193.2723022,6973.3608321
Samoa,,,,,,,,,,,,,,,,,,,,,3949.8149766,4389.4007916,4365.3771869,4654.2188361,4143.0606862,3962.1042962,4322.6774068,4218.0769219,4429.8326158,4968.9590128,4599.400722,4135.1083547,4138.4671057,4076.9069714,4171.233999,4330.7558365,4565.610201,4602.9071895,4539.468792,4807.5068213,4563.7644599,4394.148885,4405.6750831,4557.7413972,4381.5227348,4578.2793549,4872.9106989,4796.6039167,4930.5309467,5022.5555904,5338.0451297,5699.2080165,5815.0913348,6078.7953885,6277.9328516,6540.891276,6504.4078107,6872.6946771,6571.0542105,6404.4042657,6442.4581156
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,1308.6510599,1377.6062531,1377.2662061,1375.2822363,1399.9652579,1585.2942233,1613.8817473,1866.0835145,2000.1635569,2336.2490382,1810.6559157,1584.0691918,1604.0051128,1507.7888392,1407.7071356,1474.218383,1361.0220024,1243.1520109,1149.9082214,1595.1558624,1531.5777367,1462.6304778,1440.7915323,1425.7713557,1333.1917522,1351.612101,1363.8724039,1307.4362706,1293.9521057,1265.8121861,1388.6939648,1210.7109341,1207.9731017,1259.5837017,1290.9024341,1297.600234,1439.6429072,1432.6009457,1539.3570929,1584.3355094,1615.1356261
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15635.464915,13893.846091,15251.52197,14538.977014,15624.063399,17775.616277,18345.918426,17818.180171,17267.744386,17177.627928,17113.042104,17266.473974,17491.4888,16734.41218,17031.652767,16585.7333,16090.102851,17588.596617,18365.664329,19552.509122,19926.395324,20361.69566,20658.052337,19821.4166,20188.289874
Senegal,,,,,,,,,,,1413.1092083,1413.9740353,1396.3580764,1342.3559431,1343.729966,1338.644952,1349.550976,1287.3922589,1332.6317471,1205.6152107,1261.3873199,1215.7555007,1236.098201,1142.5586991,1155.615328,1219.8248519,1312.7485825,1253.1466658,1157.8988508,1230.9263928,1155.5773485,1107.8661888,1266.5956368,1261.1068222,1170.9115046,1186.5234445,1207.5713239,1217.8976987,1251.1093147,1195.9865423,1204.1274362,1173.6010296,1160.4817179,1108.5257576,1130.8503745,1143.7669963,1169.1494133,1181.9055545,1218.1419629,1267.6112581,1282.4728933,1309.7249863,1276.1393043,1330.5991785,1373.1567647,1415.5001686,1409.6297763,1442.4437805,1452.2299447,1443.3596412,1468.9050975
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10612.20268,9415.9963827,6801.5980818,4735.0245601,4862.2985472,5142.9470149,5375.3167374,5775.1535567,5846.0533079,5198.2837221,5522.3498556,5871.2589436,6098.671038,6247.093365,6768.1237988,7177.2389377,7576.2835706,8114.7929764,8603.3097269,8398.0606948,8594.6972363
Seychelles,,,,,,,,,,,6014.5175569,5954.8277666,6347.1323173,7234.7835449,7288.9612851,5855.8583611,5672.0387331,6843.4441226,7765.2465539,7119.096099,7881.9323097,8873.2908728,9274.7047607,9926.8610411,9888.9248762,10202.445841,11232.471999,12132.200549,14162.104524,16081.039715,15485.991058,14740.965798,14828.073501,14837.372184,15033.496094,16302.711792,17104.410125,17101.113894,17755.651796,19851.774619,20855.317262,21187.801745,22862.453066,24211.296435,23139.293874,22304.137238,23041.245461,24398.143969,27063.077064,25960.919306,25953.009565,26814.090452,24722.058455,21780.664412,21572.758174,22861.277785,24083.843996,25840.715242,26165.335232,27414.217234,32300.079719
Sierra Leone,,,,,,,,,,,,433.40318593,530.44673126,601.85459192,612.83332844,609.1521197,639.62781356,598.95786933,640.97301871,669.44100321,748.27520958,767.5648712,788.323878,783.07215776,759.04550818,765.14531477,784.32438196,786.1776095,790.78302044,770.92199689,734.97449845,811.2617779,881.931197,914.23902737,983.83920768,982.37936558,971.22184066,1017.992166,994.05040339,980.67953634,958.06812597,828.93165913,754.95772067,810.72985229,857.2780858,800.20020488,601.74516927,513.61180301,511.46670272,476.11931793,476.90881938,530.96759092,635.71037208,640.85568843,683.97133271,727.0988185,776.53974549,808.01924366,829.84399425,847.95866727,932.09598109
Singapore,,,,,,,,,,,4398.0799409,4514.3746421,4677.4694062,4872.6009998,4630.2735623,4778.294859,5034.4993897,5320.0358339,5894.9351623,6384.7009955,7205.338077,8036.9405152,8781.8925042,9599.5772619,10523.045861,10545.119357,11126.091627,11486.778265,12506.050142,13868.666032,15341.065233,15783.505881,16467.022948,17748.05392,18752.394639,18001.019455,17973.285904,19294.379428,20435.520994,21853.228724,23546.699093,24410.854314,25295.600849,27843.816887,29203.522005,31132.216816,32746.466945,34899.85472,32381.977367,34189.486913,37052.953326,35425.894064,36258.547443,36223.000832,39878.956541,41988.616719,45148.822129,49532.697111,50418.359011,48685.477838,55838.628469
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700.520428,11906.708098,12071.369128,11930.715692,9572.0437878,8593.2821378,9491.5966107,9728.1859369,10252.410297,11009.031386,11652.053113,12165.763388,12116.254407,12283.133983,12708.255643,13295.034923,13889.420752,14486.580085,15375.883358,16623.885411,18342.15654,19395.617748,18530.966966,19288.38012
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15533.554112,13873.741096,13037.612912,13807.947499,14616.258813,15499.753374,16015.510056,16792.560947,17416.08787,18420.539215,19182.237295,19683.904498,20431.986415,21097.427518,22059.053584,22908.741956,24328.051606,26195.33025,27128.934013,24544.446427,24901.649826
Solomon Islands,,,,,,,,,,,,,,,,,,,,,1208.8244669,1314.8010002,1223.9512009,1302.9722491,1511.6366547,1345.0227162,1469.3102291,1575.6425326,1646.8241925,1949.7168718,1745.8828793,1827.7637216,1748.2038706,1579.4992829,1616.1466352,1619.523324,1591.6281256,1591.4379984,1588.2612161,1635.4039425,1680.8896385,1690.0539252,1758.4412935,1825.1009024,1926.7244344,2025.9449149,1729.6390726,1622.1587529,1641.755024,1671.5499476,1400.8869109,1217.194627,1197.9753008,1238.4333077,1300.9054738,1586.0866761,1560.5458992,1589.7954651,1826.4267461,1700.4368515,1976.0454351
Somalia,,,,,,,,,,,,,,,,,,,,,739.79039317,779.23618599,800.27543748,819.0553714,875.38054903,876.11737065,737.02848864,776.12408088,862.76365,722.12427085,663.95914935,646.10450206,699.70815785,638.22469808,635.71452026,677.95445041,689.98095569,694.60608329,607.82151409,695.84047917,689.7019457,689.25236242,642.50267389,645.57639394,497.53517105,486.82203505,490.13740596,463.87286806,458.98319858,459.37475906,454.39985609,452.47227666,453.18404796,453.72484961,452.27477328,451.77807509,452.15420896,452.09543343,453.11632034,457.35563139,461.77031838
South Africa,3279.665246,3329.8257381,3226.5614295,3425.1578614,3569.2539972,3609.6658182,3704.154253,3793.9605051,3747.9405288,3806.1369423,3937.9916268,4084.7365786,4180.0489385,4386.1505864,4507.5158481,4593.0056023,4683.2855892,4820.7362866,4944.0011017,5037.1483384,5206.3774523,5315.6815924,5312.4898064,5409.5016056,5414.5781729,5521.2201343,5480.8131925,5521.7694514,5452.4114923,5596.6187268,6017.0525235,6036.8095597,5760.9385632,5907.6037262,5798.3244024,5520.0647553,5264.777043,5276.5509853,5428.7690906,5495.8816207,5407.7296435,5273.0607787,5107.9406649,5123.7351711,5228.2208343,5385.3022889,5476.7015739,5568.2816498,5577.0954567,5679.8298176,5873.6247507,5995.7391543,6141.2639158,6244.0352109,6503.4552876,6766.7945328,7092.0370735,7442.4425263,7600.0223364,7302.6146824,7508.7780646
Spain,3809.8552186,4413.6876051,4582.7139691,4386.430851,4951.1899927,5207.088567,5561.8851686,5755.3474604,5962.8503587,5737.2553384,6333.9927859,7101.4482266,7808.2430995,8519.1070943,8896.8762609,9444.2751904,10078.134872,10358.738914,10883.705516,11812.294341,12152.591139,12514.55862,13513.419182,14507.936375,15250.219554,15136.830336,15481.803199,15574.314364,15527.923776,15464.165361,15698.614287,15497.477253,15593.333902,15744.255853,15904.969239,16228.218881,16760.562139,17700.230794,18615.79764,19535.80337,20244.890118,20715.220914,20836.263222,20442.704869,20901.885473,21504.874859,22017.148955,22829.429556,23891.760827,24981.072006,26045.013116,26713.790695,27032.676544,27424.440828,27848.809695,28325.37741,28932.765964,29391.242128,29145.141707,27664.418339,27332.007817
Sri Lanka,618.69516234,642.15754326,659.73958238,614.31346082,638.94104197,652.23829493,560.13409639,567.47630379,589.14712293,585.42247768,607.33912102,653.2981737,641.90834182,675.04645173,683.66771927,683.10017686,703.84486592,749.2935212,770.42850821,823.92653553,871.58549103,869.89554046,920.3523545,921.80683641,1012.8700383,1033.2046677,1087.6871212,1061.9373947,1248.4597433,1208.0634466,1318.6824377,1420.5006233,1477.4798908,1471.0893096,1485.1186245,1611.7031222,1636.4023666,1647.1866545,1665.7266258,1698.1513965,1848.3620373,1840.3393528,1978.9119088,2098.5248006,2186.5993607,2286.9642734,2367.7567501,2461.5393286,2556.2961812,2627.694041,2732.9599593,2683.7285639,2768.8615019,2902.7838206,3024.0876132,3176.3530135,3380.9381128,3570.9601974,3757.1479309,3858.8249363,4065.5576104
Sudan,,,,,,,,,,,,,,,,,,,,,1119.3142087,1134.7997043,1032.5357285,969.87566818,1066.21462,1184.1417313,1345.7711683,1454.6750414,1347.5919455,1223.8808821,1203.9076265,1228.0272373,1298.6501079,1185.6781667,1154.0885628,1121.8348234,1192.4057339,1213.4838814,1239.077244,1205.5607785,1212.1727328,1245.868312,1200.0496002,1170.3380152,1172.4146266,1177.8088522,1174.9622287,1247.8285655,1267.6107256,1377.0912351,1464.3069968,1498.316611,1519.1295426,1580.8759825,1643.0695281,1832.723858,1935.5151398,2005.0008947,2053.2391057,2214.1625742,2289.0538139
Suriname,,,,,,,,,,,,,,,,,,,,,7330.6499118,7472.1412568,7967.4014525,7937.3474393,7330.0369133,8784.8173216,10007.166533,10640.310926,11141.008826,10605.532824,9904.4291808,10884.9655,10550.100412,9839.913853,9708.3221336,11150.467281,10925.948575,10046.356297,10901.781332,10729.434047,8130.3395919,8854.7936488,8590.7815264,6572.6271928,6722.8775693,6736.6963763,7794.543689,8854.5868042,9337.2397441,6957.730903,6629.4473383,6688.652346,7361.8845296,7998.5318779,8361.1171683,9658.513353,9861.7641303,10631.824435,10923.000268,10692.325349,10644.829461
Swaziland,,,,,,,,,,,,,,,,,,,,,1385.6830827,1333.0281879,1697.8257765,1620.0011471,2420.8871753,2773.7730748,2737.685951,2645.4254156,2751.1396364,2558.9016742,2452.4861702,2539.6212542,2509.5452685,2794.7295714,2958.2224201,2897.1692225,3023.3633251,3522.8361354,3591.336315,3687.8389299,3561.5273083,3517.0594122,3508.3959748,3515.66315,3494.5992975,3647.6919788,3646.1234932,3647.5434088,3670.917161,3486.1662121,3440.6715451,3245.0985024,2944.8536448,3341.7736342,3094.137492,3284.1070286,3223.9582362,3298.4292328,3439.216251,3662.3309238,3680.748082
Sweden,11013.744818,11309.99856,11587.163109,11841.634026,12364.615704,12665.267269,12967.92327,13128.460051,13349.106224,13918.114227,14312.622492,15000.149566,15537.905904,16314.891812,17221.396813,17712.439023,17829.660478,18171.037446,18720.817706,19408.611436,19548.955741,19454.304589,19886.435731,20518.350178,21153.399518,21651.476694,21960.558773,21393.823341,21366.73257,22040.903488,22187.789177,21965.215909,22168.7245,22211.385616,22981.329107,23585.329074,24390.254428,25355.268103,25939.51001,26373.979836,26228.935469,25749.361045,25132.307956,24280.753696,24946.75145,25667.433378,26000.45067,26559.558096,27600.350471,28827.693004,29990.39579,30323.864945,31037.130114,31695.163726,32973.232745,33958.517348,35367.842725,36503.390383,36212.522366,34264.377044,36132.558616
Switzerland,14866.712056,15962.825292,15621.338712,16002.871084,16870.770274,17880.531438,18955.951935,19342.323899,18367.633518,19773.265906,21029.954532,22183.960651,22682.690885,23237.143996,24209.354155,24633.848581,25081.657781,25617.457294,26385.566357,27627.516686,29439.140535,29923.621442,30428.59318,30990.738349,31684.950216,28803.137876,28913.54892,30178.814468,30005.783237,30997.35062,30010.414107,30083.519346,29537.504385,29652.611662,30451.806994,31191.640502,31688.735153,31914.46499,32572.748353,33555.181868,34295.946185,33535.875916,33100.281018,32739.801762,33002.719432,32990.704339,33033.695099,33581.614235,34554.969384,34738.318891,35788.026565,35952.51156,35851.807862,35521.708226,36226.691668,36993.952927,38164.722446,39374.883893,40003.397524,39069.541112,39985.623483
Syria,,,,,,,,,,,1541.7987939,1519.2515227,2023.8428371,1781.7489513,1986.8359444,1925.7214719,1721.6143652,1767.9417763,1786.782319,2067.4193552,1756.7642964,1831.2897107,2220.2736091,1952.813782,2252.4702374,2610.8753119,2780.8978905,2514.413315,2718.4186976,2693.8435561,2935.2897386,3160.0040494,3158.3840846,3086.0596243,2816.3460776,2855.280057,2647.8118086,2666.1970933,2997.098744,2465.0444302,2487.0544902,2603.8714411,2802.1464941,2875.3930671,3017.3145119,3135.5346536,3368.378904,3490.1693824,3602.3841054,3443.170052,3383.2549653,3458.2235376,3631.4827107,3427.7399945,3653.5435181,3722.7474776,3896.5349196,3832.4632783,3780.4628755,3798.5096548,3791.4949986
